date,EURUSD
20/12/2023,1.0981
19/12/2023,1.0924
18/12/2023,1.0895
15/12/2023,1.0994
14/12/2023,1.0886
13/12/2023,1.0799
12/12/2023,1.0767
11/12/2023,1.0766
08/12/2023,1.0792
07/12/2023,1.0767
06/12/2023,1.0794
05/12/2023,1.0838
04/12/2023,1.0888
01/12/2023,1.0892
30/11/2023,1.0974
29/11/2023,1.1006
28/11/2023,1.0958
27/11/2023,1.094
24/11/2023,1.0906
23/11/2023,1.0891
22/11/2023,1.0918
21/11/2023,1.0946
20/11/2023,1.0907
17/11/2023,1.0854
16/11/2023,1.0855
15/11/2023,1.0878
14/11/2023,1.0702
13/11/2023,1.069
10/11/2023,1.0668
09/11/2023,1.071
08/11/2023,1.0696
07/11/2023,1.0722
06/11/2023,1.0732
03/11/2023,1.0619
