date,NLR
19/12/2023,70.24
18/12/2023,71.5
15/12/2023,74.05
14/12/2023,75.67
13/12/2023,73.85
12/12/2023,73.86
11/12/2023,73.66
08/12/2023,73.63
07/12/2023,73.02
06/12/2023,73.07
05/12/2023,73.74
04/12/2023,74.95
01/12/2023,74.26
30/11/2023,73.94
29/11/2023,72.6
28/11/2023,74.59
27/11/2023,75.26
24/11/2023,75.21
22/11/2023,74.94
21/11/2023,74.5
20/11/2023,75.09
17/11/2023,74.22
16/11/2023,72.87
15/11/2023,72.33
14/11/2023,73.49
13/11/2023,71.58
10/11/2023,70.66
09/11/2023,70.26
08/11/2023,69.5
07/11/2023,70.56
06/11/2023,70.17
03/11/2023,71.36
