date,VIX
19/12/2023,12.53
18/12/2023,12.56
15/12/2023,12.28
14/12/2023,12.48
13/12/2023,12.19
12/12/2023,12.07
11/12/2023,12.63
08/12/2023,12.35
07/12/2023,13.06
06/12/2023,12.97
05/12/2023,12.85
04/12/2023,13.08
01/12/2023,12.63
30/11/2023,12.92
29/11/2023,12.98
28/11/2023,12.69
27/11/2023,12.69
24/11/2023,12.46
23/11/2023,NaN
22/11/2023,12.85
21/11/2023,13.35
20/11/2023,13.41
17/11/2023,13.8
16/11/2023,14.32
15/11/2023,14.18
14/11/2023,14.16
13/11/2023,14.76
10/11/2023,14.17
09/11/2023,15.29
08/11/2023,14.45
07/11/2023,14.81
06/11/2023,14.89
03/11/2023,14.91
